STOCK_EVENT_TIME,PART_NO,CATEGORY,PUT_ON_SERIAL,REPLACE_SERIAL,EQP_NO,CHAMBER_NO,LAYER,PUT_ON_STATUS,REPLACE_STATUS,KIND,FAB,QTY
2015/10/21 22:56,85-ECT0010,GE,54BF0MM-02011,54BF0MM-02011,EHT51,PM3,MX 1T,clean,廠內清洗,TS,P2,1
2015/10/22 01:38,85-ECT0010,GE,54593MM-02011,55194MM-02011,ECT13,PM1,1C,備品,備品,PM,P1,1
2015/10/22 10:02,85-ECT0010,GE,53529MM-02011,53529MM-02011,EHT04,PM1,1C,clean,廠內清洗,PM,P1,1
2015/10/22 13:33,85-ECT0010,GE,54GC8MM-02011,55C77MM-02011,ECT11,PM1,DK40 4E,備品,待報廢,PM,P1,1
2015/10/22 15:46,85-ECT0010,GE,55199MM-02011,55199MM-02011,ECT69,PM1,F68 1C,clean,廠內清洗,TS,P2,1
2015/10/22 21:55,85-ECT0010,GE,53385MM-02011,53385MM-02011,ECT70,PM2,1F,clean,廠內清洗,PM,P2,1
2015/10/23 01:23,85-ECT0010,GE,55C84MM-02011,55C84MM-02011,EHT05,PM2,1C,clean,廠內清洗,PM,P1,1
2015/10/23 02:22,85-ECT0010,GE,53BL3MM-02011,53BL3MM-02011,ECT23,PM2,2B HMO,clean,廠內清洗,PM,P1,1
2015/10/23 19:01,85-ECT0010,GE,56E28MM-020Z1,53F61MM-02011,EHT06,PM1,LCD 1C,新品,備品,PM,P1,1
2015/10/23 22:31,85-ECT0010,GE,54B53MM-02011,54B53MM-02011,EHT01,PM1,LCD 1C,clean,廠內清洗,PM,P1,1
2015/10/24 19:28,85-ECT0010,GE,53F61MM-02011,51C99MM-02011,ECT69,PM2,F68 1C,備品,待報廢,PM,P2,1
2015/10/24 19:59,85-ECT0010,GE,54BE3MM-02011,54BE3MM-02011,ECT14,PM2,LCD 1C,clean,廠內清洗,TS,P1,1
2015/10/25 15:16,85-ECT0010,GE,55B70MM-02011,55B70MM-02011,ECT13,PM2,1C,clean,廠內清洗,TS,P1,1
2015/10/25 18:49,85-ECT0010,GE,55B84MM-02011,55B84MM-02011,ECT12,PM1,LCD 1C,clean,廠內清洗,PM,P1,1
2015/10/26 13:28,85-ECT0010,GE,53CB9MM-02011,53CB9MM-02011,ECT70,PM1,F68 1C,clean,廠內清洗,PM,P2,1
2015/10/26 16:01,85-ECT0010,GE,54593MM-02011,54593MM-02011,ECT13,PM1,1C,clean,廠內清洗,TS,P1,1
2015/10/26 18:43,85-ECT0010,GE,55GD0MM-02011,55GD0MM-02011,ECT19,PM1,C4F8 1T,clean,廠內清洗,PM,P1,1
2015/10/27 11:31,85-ECT0010,GE,53ET4MM-020Z1,55C83MM-02011,ECT70,PM3,1F,新品,備品,PM,P2,1
2015/10/27 11:58,85-ECT0010,GE,55C83MM-02011,54269MM-02011,ECT61,PM2,F63 2B SAC,備品,備品,PM,P2,1
2015/10/27 17:27,85-ECT0010,GE,54BE8MM-02011,54BE8MM-02011,ECT12,PM2,LCD 1C,clean,廠內清洗,PM,P1,1
2015/10/27 18:28,85-ECT0010,GE,09D19MM-02011,09D19MM-02011,ECT15,PM1,DK40 4E,clean,廠內清洗,TS,P1,1
2015/10/28 04:00,85-ECT0010,GE,55C79MM-02011,55C79MM-02011,ECT18,PM1,C4F8 1T,clean,廠內清洗,PM,P1,1
2015/10/28 04:10,85-ECT0010,GE,55B70MM-02011,55B70MM-02011,ECT13,PM2,1C,clean,廠內清洗,TS,P1,1
2015/10/28 09:08,85-ECT0010,GE,55C81MM-02011,55C81MM-02011,ECT11,PM2,DK70 1G,clean,廠內清洗,PM,P1,1
2015/10/28 17:28,85-ECT0010,GE,51EF9MM-02011,53AP8MM-02011,EHT07,PM2,CIS 5E,備品,待報廢,PM,P1,1
2015/10/28 18:19,85-ECT0010,GE,4ZET9MM-02011,4ZET9MM-02011,EHT01,PM2,LCD 1C,clean,廠內清洗,PM,P1,1
2015/10/29 08:42,85-ECT0010,GE,53381MM-02011,53381MM-02011,EHT05,PM1,1C,clean,廠內清洗,TS,P1,1
2015/10/29 18:19,85-ECT0010,GE,53CA4MM-02011,53CA4MM-02011,EHT06,PM2,CIS 5E,clean,廠內清洗,TS,P1,1
2015/10/29 18:53,85-ECT0010,GE,53AP6MM-02011,53AP6MM-02011,ECT14, ,DK40 4N,clean,廠內清洗,TS,P1,1
2015/10/29 20:25,85-ECT0010,GE,54423MM-02011,55C80MM-02011,ECT15,PM2,LCD 1C,備品,備品,PM,P1,1
2015/10/30 00:06,85-ECT0010,GE,55B66MM-02011,55B66MM-02011,EHT09,PM1,DK40 7F,clean,廠內清洗,PM,P1,1
2015/10/30 04:48,85-ECT0010,GE,54269MM-02011,54B53MM-02011,EHT01,PM1,LCD 1C,備品,待報廢,TS,P1,1
2015/10/30 04:49,85-ECT0010,GE,53387MM-02011,4ZET9MM-02011,EHT01,PM2,LCD 1C,備品,待報廢,TS,P1,1
2015/10/30 06:51,85-ECT0010,GE,53381MM-02011,53381MM-02011,EHT05,PM1,1C,clean,廠內清洗,TS,P1,1
2015/10/30 11:02,85-ECT0010,GE,55194MM-02011,53F57MM-02011,ECT69,PM3,F68 1C,備品,待報廢,PM,P2,1
2015/10/30 11:46,85-ECT0010,GE,53AP6MM-02011,53AP6MM-02011,ECT14,PM1,DK40 4N,clean,廠內清洗,TS,P1,1
2015/10/30 13:17,85-ECT0010,GE,54GC6MM-02011,54GC6MM-02011,ECT66,PM2,F38 1T,clean,廠內清洗,PM,P2,1
2015/10/30 18:15,85-ECT0010,GE,55195MM-02011,55195MM-02011,ECT62,PM2,F38 1T,clean,廠內清洗,PM,P2,1
2015/10/30 22:51,85-ECT0010,GE,54B54MM-02011,54B54MM-02011,EHT03,PM1,1C,clean,廠內清洗,PM,P1,1
2015/10/31 01:58,85-ECT0010,GE,55213MM-02011,54BE3MM-02011,ECT14,PM2,LCD 1C,備品,備品,TS,P1,1
2015/10/31 05:19,85-ECT0010,GE,54419MM-020Z1,55195MM-02011,ECT62,PM2,F38 1T,新品,備品,TS,P2,1
2015/10/31 06:18,85-ECT0010,GE,54BE7MM-02011,54BE7MM-02011,ECT16,PM1,BS SiN,clean,廠內清洗,TS,P1,1
2015/10/31 16:28,85-ECT0010,GE,55195MM-02011,53388MM-02011,EHT07,PM1,LCD 1C,備品,備品,TS,P1,1
2015/10/31 17:43,85-ECT0010,GE,55B66MM-02011,55B66MM-02011,EHT09,PM1,DK40 7F,clean,廠內清洗,TS,P1,1
2015/10/31 19:58,85-ECT0010,GE,53380MM-02011,53380MM-02011,EHT02,PM2,LCD 1C,clean,廠內清洗,PM,P1,1
2015/11/1 00:17,85-ECT0010,GE,53388MM-02011,55199MM-02011,ECT69,PM1,F68 1C,備品,待報廢,PM,P2,1
2015/11/1 02:02,85-ECT0010,GE,57164MM-020Z1,53385MM-02011,ECT70,PM2,1F,新品,備品,PM,P2,1
2015/11/1 13:21,85-ECT0010,GE,55CG4MM-02011,55CG4MM-02011,EHT51,PM1,F38 1T,clean,廠內清洗,PM,P2,1
2015/11/1 20:09,85-ECT0010,GE,55GD4MM-02011,55C81MM-02011,ECT11,PM2,DK70 1G,新品,備品,TS,P1,1
2015/11/1 23:37,85-ECT0010,GE,53ET6MM-020Z1,55B66MM-02011,EHT09,PM1,DK40 7F,新品,備品,TS,P1,1
2015/11/2 00:25,85-ECT0010,GE,55B87MM-02011,55B87MM-02011,ECT61,PM1,F63 2B SAC,clean,廠內清洗,PM,P2,1
2015/11/2 18:32,85-ECT0010,GE,55196MM-02011,55196MM-02011,ECT62,PM1,F38 1T,clean,廠內清洗,PM,P2,1
2015/11/2 23:07,85-ECT0010,GE,53G28MM-02011,54747MM-02011,ECT66,PM3,F68 1C,備品,待報廢,PM,P2,1
2015/11/3 01:32,85-EKA0270,GE,NULL,NONE1,EHA04,eMaxC,CT_1F,備品,廠外清洗,PM,P1,1
2015/11/3 02:44,85-ECT0010,GE,53F61MM-02011,53F61MM-02011,ECT69,PM2,F68 1C,clean,廠內清洗,PM,P2,1
2015/11/3 03:00,85-ECT0010,GE,51EG4MM-02011,52DG1MM-02011,ECT63,PM2,F68 1C,備品,備品,PM,P2,1
2015/11/3 03:07,85-ECT0010,GE,57180MM-020Z1,54269MM-02011,EHT01,PM1,LCD 1C,新品,備品,TS,P1,1
2015/11/3 06:04,85-ECT0010,GE,53387MM-02011,53387MM-02011,EHT01,PM2,LCD 1C,clean,廠內清洗,TS,P1,1
2015/11/3 13:23,85-EKA0190,GE,NULL,NULL,EHA03,eMaxC,2N,備品,廠外清洗,PM,P1,5
2015/11/3 13:23,85-EKA0270,GE,NULL,NULL,EHA03,eMaxC,2N,備品,廠外清洗,PM,P1,1
2015/11/3 20:02,85-ECT0010,GE,56E28MM-020Z1,56E28MM-020Z1,EHT06,PM1,LCD 1C,clean,廠內清洗,PM,P1,1
2015/11/3 23:07,85-EKA0270,GE,NULL,MII-064-0152,EHA02,eMaxA,DK_PI,備品,廠外清洗,PM,P1,1
2015/11/4 05:57,85-ECT0010,GE,54269MM-02011,55GD2MM-02011,EHT01,PM1,LCD 1C,備品,備品,TS,P1,1
2015/11/4 13:35,85-EKA0270,GE,NULL,NONE2,EHA03,eMaxA,F68 CT PI,備品,廠外清洗,PM,P1,1
