MFG_MONTH,TOOL_ID,M_NUM,UP_TIME,C_UP_TIME,LOT_SIZE,C_LOT_SIZE,EQP_UTIL,C_EQP_UTIL,EQP_AVAIL_RATE,TC,PROCESS_TIME,PROCESS_JOBTIME,INLINE_CT_LOT,INLINE_CT_WAFER,MOVE_QTY,C_TC,ENG_LOT_RATE,HOT_LOT_RATE,BACKUP_BY_RATE,BACKUP_FOR_RATE,RWORK_LOT_RATE,QUE_LOT_RATE,SAMPLING_RATE,NUM_RECIPE,CHANGE_RECIPE
202002,EUT61,2,0.922797139,0.022851696,25.16576087,0.076021544,0.852141974,0.275206734,4.144793153,1.894523008,3.349880726,2.470384768,0.4679308,0.472793354,9261,0.509468031,0,0.002807472,0,0,0,1,0,9,0.551630435
202003,ECT11,2,0.973831755,0.021759223,23.85544373,0.079626097,0.575638754,0.404026272,1.202653248,1.866142473,1.669099065,1.484261462,0.20177526,0.206544845,26074,0.429596587,0.028419115,0.038620848,0,0,0.006213086,0.898212779,0,73,0.9021043
202003,ECT12,2,0.956346214,0.021973493,23.5061296,0.080117703,0.80518927,0.287005095,2.592336683,1.247871695,1.702986984,1.54471629,0.38761268,0.389018006,26844,0.516277366,0.006630904,0.04179705,0,0,0.003240948,0.854604381,0,66,0.866024518
202003,ECT13,2,0.913985794,0.023344522,23.9711838,0.078068511,0.957840833,0.242432975,1.481415137,1.117041054,1.760904986,1.296298701,1.278928058,1.174113384,30779,0.561233735,0.013125833,0.016894636,0,0,1.11E-02,0.574872478,0,106,0.707165109
202003,ECT14,2,0.917736522,0.023452581,23.25521268,0.07975123,0.639856039,0.359618305,1.042535446,1.749265957,1.590437633,1.391846446,0.28615566,0.288220402,27883,0.418008835,0.003084317,0.007531471,0,0,0.0128035,0.706487824,0,61,0.857381151
202003,ECT15,2,0.959668561,0.022290146,23.03790614,0.07977236,0.821410135,0.278588433,2.412753623,1.205268893,1.676058454,1.513608857,0.344714446,0.363339379,25526,0.524111611,0.043720128,0.10314973,0,0,0.00211549,0.9300713,0,68,0.860108303
202003,ECT16,2,0.996017713,0.022241434,23.74489796,0.076847223,0.021255336,11.42753451,0.510204082,0.567138889,0.742032313,0.656556122,0.075832861,0.070608233,2327,0.414246483,0.002148689,0.137945853,0,0,0.001718951,0.075204125,0,12,0.642857143
202003,ECT17,2,0.931407973,0.023695075,23.99904489,0.075596057,0.936487691,0.259855634,2.349671413,1.318300639,2.01194627,1.639175338,0.398569556,0.40641617,25127,0.542724456,0.00238787,0.043538823,0,0,0.01703347,0.907111872,0,103,0.898758357
202003,ECT18,2,0.942052437,0.023239216,24.02321429,0.075098134,0.732018142,0.329738567,1.560714286,1.913454416,1.962745536,1.799393601,0.379257699,0.384115847,26906,0.38115944,0.000706162,0.03582844,0,0,0.002750316,0.940793875,0,75,0.934821429
202003,ECT19,2,0.924542431,0.023703941,20.16574586,0.0904794,0.357668111,0.678676473,0.740331492,1.637376708,1.537714472,1.346341697,0.501462969,0.455195853,14600,0.44174535,0.007328767,0.158219178,0,0,0.010547945,0.957808219,0,42,0.762430939
