PART_NO,EQP_NO,QTY,PM,TS,MFG_MONTH,Tool.MFG_MONTH,Tool.TOOL_ID,Tool.M_NUM,Tool.UP_TIME,Tool.C_UP_TIME,Tool.LOT_SIZE,Tool.C_LOT_SIZE,Tool.EQP_UTIL,Tool.C_EQP_UTIL,Tool.EQP_AVAIL_RATE,Tool.TC,Tool.PROCESS_TIME,Tool.PROCESS_JOBTIME,Tool.INLINE_CT_LOT,Tool.INLINE_CT_WAFER,Tool.MOVE_QTY,Tool.C_TC,Tool.ENG_LOT_RATE,Tool.HOT_LOT_RATE,Tool.BACKUP_BY_RATE,Tool.BACKUP_FOR_RATE,Tool.RWORK_LOT_RATE,Tool.QUE_LOT_RATE,Tool.SAMPLING_RATE,Tool.NUM_RECIPE,Tool.CHANGE_RECIPE
85-ECT0010,ECT14,4,4.0,0.0,202006,202006.0,ECT14,2.0,0.943991787,0.047648827,23.3528,0.380312654,0.645596805,0.346519524,0.8672,1.779996124,1.591587556,1.383421111,0.26216125,0.258198476,29191.0,0.398041211,0.007742112,0.020108938,0.0,0.002706314,0.008016169,0.705320133,0.0,71.0,0.8584
85-ECT0010,ECT14,4,4.0,0.0,202007,202007.0,ECT14,2.0,0.9546472,0.046275609,22.95359281,0.361750312,0.674249685,0.330382847,0.936751497,1.855683761,1.607907726,1.379178934,0.401669396,0.342182411,30666.0,0.396677581,0.00932629,0.013598122,0.0,0.008543664,0.005641427,0.709906737,0.0,80.0,0.857035928
85-ECT0010,ECT14,3,3.0,0.0,202008,202008.0,ECT14,2.0,0.971370216,0.044878325,22.73605656,0.344014885,0.650459669,0.340156538,1.09505106,2.005360195,1.677351837,1.435800166,0.444903743,0.36857448,28943.0,0.418438127,0.010296099,0.014891338,0.0,0.007877552,0.003938776,0.735756487,0.0,79.0,0.848389631
85-ECT0010,ECT14,6,6.0,0.0,202009,202009.0,ECT14,2.0,0.941277233,0.046265996,22.91680395,0.323160321,0.660478611,0.332463498,1.250411862,2.098012677,1.768960507,1.504252014,0.366541201,0.357690376,27820.5,0.433922989,0.01236476,0.024621689,0.0,0.0042414,0.002336365,0.752848568,0.0,55.0,0.848434926
85-ECT0010,ECT14,4,4.0,0.0,202010,202010.0,ECT14,2.0,0.938765626,0.046429449,23.09902913,0.304998713,0.612956578,0.355867035,1.47815534,2.171903321,2.050144552,1.66667233,0.409337716,0.402559529,23791.5,0.481008645,0.016770343,0.047452925,0.0,0.007061197,0.002437794,0.801908204,0.0,52.0,0.822330097
85-ECT0010,ECT14,3,3.0,0.0,202011,202011.0,ECT14,2.0,0.962799415,0.045127542,23.14370664,0.291044279,0.599645648,0.360850651,1.604558969,2.183846667,2.079391036,1.69537193,0.40410524,0.397375137,23351.5,0.490185585,0.013703323,0.043722165,0.0,0.004282288,0.004539226,0.816161357,0.0,44.0,0.823587711
85-ECT0010,ECT14,4,4.0,0.0,202012,202012.0,ECT14,2.0,0.95896515,0.044978759,23.58699634,0.274398558,0.635439959,0.338480766,1.63507326,2.179647817,1.948199786,1.640711488,0.352524897,0.356753171,25756.5,0.468089202,0.00997787,0.019916916,0.0,0.055945956,0.003455371,0.755639244,0.0,43.0,0.851648352
85-ECT0010,ECT14,5,5.0,0.0,202101,202101.0,ECT14,2.0,0.964921001,0.044765864,23.71555118,0.263063762,0.606938741,0.353521388,1.851377953,2.216876731,2.065511811,1.719282316,0.356906954,0.357342434,24095.0,0.485089602,0.007179913,0.013405271,0.0,0.207719444,0.008217473,0.678231998,0.0,37.0,0.842519685
85-ECT0010,ECT14,3,3.0,0.0,202102,202102.0,ECT14,2.0,0.969832619,0.044936314,23.42259007,0.257445324,0.606621916,0.353792139,1.740993184,2.220565763,2.135261279,1.703728227,0.413429645,0.405119495,24055.0,0.489534648,0.006568281,0.010766992,0.0,0.301101642,0.009478279,0.590937435,0.0,38.0,0.82375852
85-ECT0010,ECT14,6,6.0,0.0,202103,202103.0,ECT14,2.0,0.96461648,0.044834524,23.38352273,0.249930739,0.624472386,0.343928253,1.574810606,2.226972222,2.133446444,1.66592198,0.421597036,0.408220872,24692.5,0.482944583,0.00587211,0.008018467,0.0,0.317255902,0.006196088,0.55683797,0.0,49.0,0.834280303
